Tanggal;Penumpang
01/01/2012;9779.0
01/02/2012;9840.0
01/03/2012;11285.0
01/04/2012;11271.0
01/05/2012;11872.0
01/06/2012;12034.0
01/07/2012;12391.0
01/08/2012;11471.0
01/09/2012;11556.0
01/10/2012;11501.0
01/11/2012;10650.0
01/12/2012;10438.0
01/01/2013;10089.0
01/02/2013;10281.0
01/03/2013;11240.0
01/04/2013;11529.0
01/05/2013;11767.0
01/06/2013;11817.0
01/07/2013;15407.0
01/08/2013;14321.0
01/09/2013;15113.0
01/10/2013;15531.0
01/11/2013;15487.0
01/12/2013;15901.0
01/01/2014;15176.0
01/02/2014;14856.0
01/03/2014;17471.0
01/04/2014;16671.0
01/05/2014;16781.0
01/06/2014;17848.0
01/07/2014;16585.0
01/08/2014;17091.0
01/09/2014;18253.0
01/10/2014;19079.0
01/11/2014;18605.0
01/12/2014;20080.0
01/01/2015;19244.0
01/02/2015;17640.0
01/03/2015;21290.0
01/04/2015;21171.0
01/05/2015;22177.0
01/06/2015;22207.0
01/07/2015;21171.0
01/08/2015;22295.0
01/09/2015;22021.0
01/10/2015;22964.0
01/11/2015;22355.0
01/12/2015;22996.0
01/01/2016;22238.0
01/02/2016;21229.0
01/03/2016;23206.0
01/04/2016;23149.0
01/05/2016;24401.0
01/06/2016;23821.0
01/07/2016;21574.0
01/08/2016;23923.0
01/09/2016;23570.0
01/10/2016;24533.0
01/11/2016;24104.0
01/12/2016;24841.0
01/01/2017;24185.0
01/02/2017;21743.0
01/03/2017;25775.0
01/04/2017;25411.0
01/05/2017;27385.0
01/06/2017;24432.0
01/07/2017;27016.0
01/08/2017;27679.0
01/09/2017;26158.0
01/10/2017;28765.0
01/11/2017;28246.0
01/12/2017;29059.0
01/01/2018;28075.0
01/02/2018;25362.0
01/03/2018;29223.0
01/04/2018;28942.0
01/05/2018;28995.0
01/06/2018;24833.0
01/07/2018;29086.0
01/08/2018;28098.0
01/09/2018;27618.0
01/10/2018;29317.0
01/11/2018;28049.0
01/12/2018;29201.0
01/01/2019;27768.0
01/02/2019;25305.0
01/03/2019;28366.0
01/04/2019;28062.0
01/05/2019;28369.0
01/06/2019;25816.0
01/07/2019;29714.0
01/08/2019;27651.0
01/09/2019;28293.0
01/10/2019;29278.0
01/11/2019;28563.0
01/12/2019;28860.0
01/01/2020;26733.0
01/02/2020;25616.0
01/03/2020;18548.0
01/04/2020;5138.0
01/05/2020;5077.0
01/06/2020;8591.0
01/07/2020;11116.0
01/08/2020;11014.0
01/09/2020;9678.0
01/10/2020;10128.0
01/11/2020;11622.0
01/12/2020;11330.0
01/01/2021;10149.0
01/02/2021;9796.0
01/03/2021;12041.0
01/04/2021;12452.0
01/05/2021;12230.0
01/06/2021;11978.0
01/07/2021;5102.0
01/08/2021;5947.0
01/09/2021;8693.0
01/10/2021;11347.0
01/11/2021;12792.0
01/12/2021;14213.0
01/01/2022;14484.0
01/02/2022;10499.0
01/03/2022;15735.0
01/04/2022;15890.0
01/05/2022;17075.0
01/06/2022;18326.0
01/07/2022;19467.0
01/08/2022;19388.0
01/09/2022;20587.0
01/10/2022;21807.0
01/11/2022;21589.0
01/12/2022;23118.0
01/01/2023;22717.0
01/02/2023;20811.0
01/03/2023;23856.0
01/04/2023;21402.0
01/05/2023;23716.0
01/06/2023;23292.0
01/07/2023;25211.0
01/08/2023;24979.0
01/09/2023;25082.0
01/10/2023;26793.0
01/11/2023;26171.0
01/12/2023;26861.0
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
